Date,Shorts,Longs,Volume
20190515,27477.2881,25001.5399,19036
20190514,27134.3879,24789.3294,29341
20190513,25684.6636,26226.95,36467
20190512,25682.8605,22249.483,31959
20190511,26631.4663,22629.3385,37945
20190510,30142.8601,18008.4966,14493
20190509,32385.448,19127.974,9682
20190508,32446.0476,18306.7113,8222
20190507,32045.2756,18334.0558,11990
20190506,31871.8415,18418.6867,6477
20190505,30837.3928,18626.661,5816
20190504,30547.9276,18424.1297,9437
20190503,29954.2449,18031.8041,19480
20190502,31189.5831,18608.408,11076
20190501,30618.9926,18012.1074,5537
20190430,30270.5521,18066.2728,7443
20190429,29708.4145,17772.434,7812
20190428,30236.8883,18313.4646,7768
20190427,30056.4562,18239.5652,4567
20190426,30332.9757,18316.469,21535
20190425,28198.0356,19975.2705,21494
20190424,25806.3478,22025.7037,16534
20190423,25969.9189,24208.8698,18769
20190422,23138.4617,23941.3677,11952
20190421,22502.1475,23975.3895,6154
20190420,22226.1211,24227.4635,6482
20190419,23226.835,25250.7145,6307
20190418,21821.6081,25817.1416,9040
20190417,19141.1604,24200.8096,9284
20190416,18772.4835,24166.9809,8377
20190415,18850.8697,24412.804,9523
20190414,18637.949,24130.3407,4146
20190413,18683.6147,23586.9342,5209
20190412,18495.8675,24842.8565,9221
20190411,1848.7575,24894.6477,19430
20190410,18478.5234,26222.9031,15781
20190409,18462.2255,26060.0118,11902
20190408,17039.7803,26227.3309,17817
20190407,21148.2697,23801.3804,9952
20190406,2190.265,24417.3558,14204
20190405,21084.0928,25621.8427,11363
20190404,20801.4477,25481.6608,15416
20190403,20963.3498,26756.4019,44292
20190402,19486.6734,26486.1993,51148
20190401,20550.9838,23666.0544,7006
20190331,19810.8413,23539.397,2272
20190330,19144.759,23503.3979,6635
20190329,18824.3541,24004.4124,8647
20190328,18059.7,23613.4988,6215
20190327,19069.6039,23979.1897,7934
20190326,20012.4273,23590.6582,5092
20190325,20317.2581,23606.9384,6706
20190324,20401.1043,23979.5959,3364
20190323,20378.608,24171.9134,4368
20190322,20370.4641,24938.0857,4836
20190321,20708.5305,24933.2621,11825
20190320,21544.858,23983.9304,7817
20190319,23297.2047,23944.1282,5549
20190318,22433.8932,22778.7807,3680
20190317,22153.4952,22420.5556,3393
20190316,21984.2742,22362.7067,13945
20190315,22107.466,22548.9704,6738
20190314,20694.9221,21996.889,8303
20190313,21277.6308,22024.23,5531
20190312,21126.4027,22014.9218,7626
20190311,20809.6506,22400.0445,6610
20190310,20676.8946,23097.2648,4674
20190309,20458.9841,23082.3061,7382
20190308,20295.7926,23770.4033,9360
20190307,19292.9472,23813.7801,7640
20190306,18064.8923,23725.8999,6591
20190305,17406.5583,23873.2448,10797
20190304,17729.7809,23859.6,10185
20190303,17667.825,24195.5043,2878
20190302,17760.7007,24241.977,5115
20190301,18121.8428,24177.1981,4758
20190228,18102.7488,24277.3995,12097
20190227,19470.4357,25331.326,12033
20190226,18164.527,25739.1465,5113
20190225,18214.9091,26053.7428,10406
20190224,17330.4469,26433.4722,36095
20190223,18586.7581,26684.86,21531
20190222,19641.3701,24915.8455,14206
20190221,19936.0418,25419.0248,15483
20190220,20937.2563,26835.445,15257
20190219,18932.2474,26268.6774,24303
20190218,21290.4009,31289.398,37616
20190217,25215.87,35884.2359,14076
20190216,23818.707,35821.6275,7516
20190215,22414.7317,34268.5843,7807
20190214,21952.5545,33728.4329,7533
20190213,22689.5219,33150.3808,11761
20190212,25512.6034,33527.5637,11337
20190211,24977.4458,32642.5205,7797
20190210,24203.7428,31839.7542,10041
20190209,24049.0046,31057.7552,6563
20190208,25029.1402,31841.1289,31163
20190207,25697.5835,31463.2729,4815
20190206,25030.8572,31460.901,13172
20190205,23895.447,31091.757,4590
20190204,24324.6709,31093.027,5213
20190203,25189.1914,31551.6049,7875
20190202,24239.5035,31811.1381,10890
20190201,26275.6533,32079.5169,10041
20190131,26984.4351,31172.0929,8572
20190130,27216.0159,31107.0005,12580
20190129,25586.6478,29861.6088,10466
20190128,25934.6985,29320.0372,17024
20190127,23865.341,28601.5812,11449
20190126,25694.58,28801.5176,13006
20190125,23999.5048,29059.4581,7378
20190124,53824.8138,2888.4423,7868
20190123,22595.0927,28957.1955,15136
20190122,22355.7692,29567.6363,18048
20190121,23187.5409,30299.1444,10814
20190120,22873.5344,32204.098,20627
20190119,22568.1235,31381.4218,13391
20190118,22288.9162,31569.6775,5656
20190117,21887.5608,31262.6083,10870
20190116,21717.3462,31509.1256,13227
20190115,22801.6633,30937.5259,13323
20190114,23337.5646,30645.6297,14836
20190113,23751.3185,31736.3547,12590
20190112,23384.536,31832.8522,9296
20190111,24325.02025,31348.1852,13130
20190110,23893.0675,31105.6882,35020
20190109,22711.5308,33806.9682,20629
20190108,23457.3296,33608.5593,18727
20190107,24343.6241,33339.2186,11253
20190106,24878.8269,3445.5513,25180
20190105,28747.9277,3351.0759,14874
20190104,30590.2797,3341.9537,13229
20190103,32969.132,32361.1642,10520
20190102,33164.5824,31977.4362,19438
20190101,33507.3441,29751.7319,13848
20181231,32044.9902,29532.9814,15793
20181230,33524.4892,28767.9337,17734
20181229,32077.9314,28766.7578,18707
20181228,31728.5823,26713.0566,26918
20181227,31861.029,25574.8188,23614
20181226,31450.1451,25747.5834,19131
20181225,33601.478,26041.3315,33727
20181224,31835.6855,27350.5563,38009
20181223,33838.6146,26480.6561,24473
20181222,35322.8667,26801.0574,19531
20181221,34412.3093,26109.6207,45527
20181220,36102.7071,25742.2505,65871
20181219,38428.228,25459.9762,55272
20181218,34625.2197,30741.5471,29431
20181217,38605.2128,35720.1893,35728
20181216,40061.6474,35341.26158,19107
20181215,38940.2442,33626.1283,17890
20181214,37022.1052,30482.1503,28559
20181213,36324.9202,28749.0015,22249
20181212,36438.6559,29612.8712,20931
20181211,37476.5207,28677.9819,24048
20181210,36015.6029,26835.5428,22610
20181209,37718.02,27371.4834,25081
20181208,38622.0596,27075.8812,39087
20181207,42244.313,28121.2169,74094
20181206,38574.1566,27804.1622,58288
20181205,36137.1512,26960.0699,28430
20181204,34537.1701,26661.6085,33692
20181203,36040.523,26374.6405,36856
20181202,33982.5687,27718.2348,24479
20181201,33994.8716,27363.0608,27504
20181130,34954.054,28886.8309,42454
20181129,35638.057,28307.4812,41125
20181128,33710.1234,28086.8213,65259
20181127,35216.6399,29894.764,46273
20181126,33824.5475,27147.1369,64117
20181125,30214.1201,27695.9285,82180
20181124,32976.2463,27457.7747,51143
20181123,27341.711,25992.8314,36102
20181122,28478.0731,25651.7127,28885
20181121,30741.9326,27204.8795,44377
20181120,31602.8003,27129.902,117312
20181119,23606.4851,29916.0634,74206
20181118,23158.2263,27075.5458,9552
20181117,22300.7513,26765.7069,7999
20181116,23259.1774,26600.9608,18455
20181115,24945.1312,26360.1566,49913
20181114,25716.1293,25872.6714,69299
20181113,19973.4942,24089.8338,10132
20181112,20194.855,24056.3698,7299
20181111,20425.9611,24047.6158,7343
20181110,20487.4341,24510.5541,3253
20181109,20709.7882,24275.2592,10458
20181108,20785.3876,24654.4176,11620
20181107,21052.1886,25370.3037,10727
20181106,21901.0483,24270.4189,7316
20181105,21728.4438,24090.026,4815
20181104,22279.0904,23816.5345,8995
20181103,2476.5865,23232.7717,11440
20181102,27069.6382,22775.1892,8077
20181101,28902.6306,23290.9512,9159
20181031,30307.4536,23621.5123,9959
20181030,31676.4783,23060.7438,10740
20181029,32393.6698,22424.5576,6843
20181028,31163.1945,23614.3365,6971
20181027,31241.5269,23213.2546,7425
20181026,31611.67089,22272.4644,8712
20181025,31205.9084,22129.7951,8523
20181024,30603.4181,22788.5613,8864
20181023,30402.8501,21083.7504,6073
20181022,32337.9709,20637.2336,4420
20181021,32299.1933,20201.191,4648
20181020,33309.1661,20139.4204,11239
20181019,33815.5653,20112.4993,8882
20181018,35682.4782,21804.8297,15665
20181017,35022.982,21937.5404,85004
20181016,34303.6942,22075.7842,5818
20181015,32860.2061,21414.7839,10405
20181014,37496.6374,25351.1095,41614
20181013,35147.9979,25433.5812,13831
20181012,34981.3004,25105.0969,8062
20181011,35383.3986,25301.1396,12699
20181010,32943.7115,27537.4029,5816
20181009,32392.454,28406.2843,5806
20181008,32522.9244,29098.886,12448
20181007,31273.5916,25809.24,11472
20181006,30901.1507,26070.3463,14574
20181005,31017.1738,27239.5254,12037
20181004,30913.6731,26582.9395,10358
20181003,32088.9752,26720.1718,8494
20181002,31556.15,27213.7792,17306
20181001,30986.4764,27193.1394,27893
20180930,30164.6793,27598.4433,18368
20180929,30337.843,26952.4398,20238
20180928,28816.3033,29730.6632,17767
20180927,30170.7654,27634.0571,8514
20180926,28705.4614,26238.2032,18261
